"GLAVNI PROJEKTANT: Silva Grubešić Horvat, dipl.ing.arh., A 2191
TROŠKOVNIK: KEOPS-PROJEKT d.o.o., Zagreb
IZRADIO: Vedran Subotić, struč.spec.ing.aedif., G5923
Z.O.C.P.: PBV-1/25, travanj 2025.",,REKONSTRUKCIJA POSTOJEĆE POSLOVNE GRAĐEVINE TRGOVAČKE I UREDSKE NAMJENE – TRGOVAČKI CENTAR EUROSPIN,,,"INVESTITOR:
EUROSPIN HRVATSKA d.o.o.
Rijeka, Jelačićev trg 7"
8.3.1,Izrada nasipa do površine donje kote nosivog sloja kolničkih konstrukcija,,,,0
,"Dobava materijala, transporti, nasipavanje i zbijanje drobljenca granulacije 0-100 mm u slojevima debljine do maksimalno 30 cm",,,,0
,"Materijal mora udovoljiti uvjetima norme HRN EN 13242 ili jednakovrijedno.
Ravnost površine nasipa mjeri se kao odstupanje površine sloja od letve duljine 4,0 m. Odstupanje smije biti najviše 20 mm, sve prema HRN DIN 18202 ili jednakovrijedno.",,,,0
,"Stavka uključuje strojno zbijanje do zbijenosti min. 40 MPa. Uključeno mjerenje modula stišljivosti kružnom pločom promjera 30 cm, na svakih 500 m2. ",,,,0
,Moguća je ugradnja materijala iz iskopa ako isti udovoljava zahtjeve opisane u ovoj stavci. Materijal mora odobriti nadzorni inženjer.,,,,
,Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 2.3.1,,,,
,Obračun po m3.,,,,
,a) ugradnja materijala iz iskopa,m3,253,8,2024
,b) dobava i ugradnja novog materijala,m3,162.5,32,5200
,,,,,0
8.4,STANDARDNI NOSIVI SLOJEVI,,,,0
8.4.1,"
Temeljni sloj kamenog materijala zbijene debljine najmanje 40 cm ",,,,0
,"Dobava materijala, transporti, nasipavanje i zbijanje drobljenca granulacije 0-63 mm u slojevima debljine od 20 cm, ukupne debljine 40 cm u zbijenom stanju. ",,,,0
,"Materijal mora udovoljiti uvjetima norme HRN EN 13242 ili jednakovrijedno.
Ravnost površine nasipa mjeri se kao odstupanje površine sloja od letve duljine 4,0 m. Odstupanje smije biti najviše 20 mm, sve prema HRN DIN 18202 ili jednakovrijedno.",,,,0
,"Stavka uključuje strojno zbijanje do zbijenosti min. 80 MPa. Uključeno mjerenje modula stišljivosti kružnom pločom promjera 30 cm, na svakih 500 m2. ",,,,0
,Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 2.4.1,,,,0
,Obračun po m3.,m3,1229,32,39328
8.4.2,"
Osnovni sloj kamenog materijala zbijene debljine najmanje 10 cm ",,,,0
,"Dobava materijala, transporti, nasipavanje i zbijanje drobljenca granulacije 0-32 mm u sloju debljine 10 cm u zbijenom stanju.  ",,,,0
,"Materijal mora udovoljiti uvjetima norme HRN EN 13242 ili jednakovrijedno.
Ravnost površine nasipa mjeri se kao odstupanje površine sloja od letve duljine 4,0 m. Odstupanje smije biti najviše 20 mm, sve prema HRN DIN 18202 ili jednakovrijedno.",,,,0
,"Stavka uključuje strojno zbijanje do zbijenosti min. 100 MPa. Uključeno mjerenje modula stišljivosti kružnom pločom promjera 30 cm, na svakih 500 m2. ",,,,0
,Izvedba u svemu prema standardnoj tehničkoj specifikaciji prodajnog mjesta Eurospin - točka 2.4.2,,,,0
,Obračun po m3.,m3,281,32,8992
,ISKOPI I NASIPI GRAĐEVINE UKUPNO:,,,,99702.7
