,,,,,,,
,,,,,,,
,,,,,,,
,0.3.1.1.13.,"Rušenje (uklanjanje) armiranobetonskog unutarnjeg stubišta između međukata i prvog kata, koje se sastoji od dva kraka s ukupno 16 stuba i dva podesta, obloženog keramičkim pločicama. Kod rušenja u cijenu stavke treba uključiti potrebna podupiranja - prihvat izrezanih elemenata te potrebna osiguranja. Rušenja treba vršiti rezanjem dijamantnom pilom. Komadi do max 200 kg kontinuirano se iznose van zgrade (bez gomilanja na zgradi), utovaruju u kamion i odvoze na gradsku deponiju a to je uključeno u cijenu stavke komplet sa postotkom na rastresitost. Obračun po m2 što uključuje bušenje rupa, rezanje i/ili sl., u svemu do potpuno uklonjenog dvokrakog stubišta.
Uključivo potrebna skela, horizontalni i vertikalni transport na gradilištu, te odvoz na gradski deponij.
Obračun po m2 tlocrtne projekcije komplet. uklonjenog stubišta.",,,,,
,0.3.1.1.13.a.,,komad,15.45,126.72,1957.824,
,,,,,,,
,0.3.1.1.14.,"Rušenje (uklanjanje) dijela stropne konstrukcije podruma, a koja se sastoji od nosive arm. bet. ploče stropa debljine 25,0 cm. Debljina ploče je pretpostavljena. Kod rušenja u cijenu stavke treba uključiti potrebna podupiranja - prihvat izrezanih elemenata te potrebna osiguranja. Rušenja treba vršiti rezanjem dijamantnom pilom. Komadi do max 200 kg kontinuirano se iznose van zgrade (bez gomilanja na zgradi), utovaruju u kamion i odvoze na gradsku deponiju a to je uključeno u cijenu stavke komplet sa postotkom na rastresitost. Obračun po m2 što uključuje bušenje rupa, rezanje i/ili sl., u svemu do potpuno uklonjene ploče debljine 25 cm.
Uključivo potrebna skela, horizontalni i vertikalni transport na gradilištu, te odvoz na gradski deponij.
Obračun po m2 komplet. uklonjenog stropa.",,,,,
,0.3.1.1.14.a.,,m²,11.95,126.72,1514.304,
,,,,,,,
,0.3.1.1.15.,"Rušenje (uklanjanje) dijela stropne konstrukcije prizemlja, na koti +2,30, pod međukata, a koja se sastoji od nosive arm. bet. ploče stropa debljine 25,0 cm. Debljina ploče je pretpostavljena. Kod rušenja u cijenu stavke treba uključiti potrebna podupiranja - prihvat izrezanih elemenata te potrebna osiguranja. Rušenja treba vršiti rezanjem dijamantnom pilom. Komadi do max 200 kg kontinuirano se iznose van zgrade (bez gomilanja na zgradi), utovaruju u kamion i odvoze na gradsku deponiju a to je uključeno u cijenu stavke komplet sa postotkom na rastresitost. Obračun po m2 što uključuje bušenje rupa, rezanje i/ili sl., u svemu do potpuno uklonjene ploče debljine 25 cm.
Uključivo potrebna skela, horizontalni i vertikalni transport na gradilištu, te odvoz na gradski deponij.
Obračun po m2 komplet. uklonjenog stropa.",,,,,
,0.3.1.1.15.a.,,m²,5.2,126.72,658.944,
,,,,,,,
,0.3.1.1.16.,"Rušenje (uklanjanje) dijela stropne konstrukcije prizemlja, na koti +3,65, a koja se sastoji od nosive arm. bet. ploče stropa debljine 25,0 cm. Debljina ploče je pretpostavljena. Kod rušenja u cijenu stavke treba uključiti potrebna podupiranja - prihvat izrezanih elemenata te potrebna osiguranja. Rušenja treba vršiti rezanjem dijamantnom pilom. Komadi do max 200 kg kontinuirano se iznose van zgrade (bez gomilanja na zgradi), utovaruju u kamion i odvoze na gradsku deponiju a to je uključeno u cijenu stavke komplet sa postotkom na rastresitost. Obračun po m2 što uključuje bušenje rupa, rezanje i/ili sl., u svemu do potpuno uklonjene ploče debljine 25 cm.
Uključivo potrebna skela, horizontalni i vertikalni transport na gradilištu, te odvoz na gradski deponij.
Obračun po m2 komplet. uklonjenog stropa.",,,,,
,0.3.1.1.16.a.,,m²,13.43,126.72,1701.8496,
,,,,,,,
,0.3.1.1.17.,"Rušenje (uklanjanje) dijela stropne konstrukcije međukata, na koti +4,93, a koja se sastoji od nosive arm. bet. ploče stropa debljine 25,0 cm. Debljina ploče je pretpostavljena. Kod rušenja u cijenu stavke treba uključiti potrebna podupiranja - prihvat izrezanih elemenata te potrebna osiguranja. Rušenja treba vršiti rezanjem dijamantnom pilom. Komadi do max 200 kg kontinuirano se iznose van zgrade (bez gomilanja na zgradi), utovaruju u kamion i odvoze na gradsku deponiju a to je uključeno u cijenu stavke komplet sa postotkom na rastresitost. Obračun po m2 što uključuje bušenje rupa, rezanje i/ili sl., u svemu do potpuno uklonjene ploče debljine 25 cm.
Uključivo potrebna skela, horizontalni i vertikalni transport na gradilištu, te odvoz na gradski deponij.
Obračun po m2 komplet. uklonjenog stropa.",,,,,
,0.3.1.1.17.a.,,m³,8.81,126.72,1116.4032,
,,,,,,,
,0.3.1.1.18.,"Rušenje (uklanjanje) pregradnih zidova, zidova ispune, parapeta, dijelova zidova i/ili sl. od od gipskartonskih ploča na metalnoj potkonstrukciji, deblj. do 15 cm, eventualno obloženi jednostrano ili obostrano keramičkim pločicama, komplet s instalacijama, visine do 4,0 m.
Uključivo odvoz na gradski deponij.
Mjesto uklanjanja: prizemlje.
Obračun po m2 kompletno uklonjenog zida.",,,,,
,0.3.1.1.18.a.,,m²,40.02,31,1240.62,
,,,,,,,
,0.3.1.1.19.,"Rušenje (uklanjanje) pregradnih zidova, zidova ispune, parapeta, dijelova zidova i/ili sl. od opeke debljine 10-12 cm, eventualno s arm.bet. elementima (nadvoji, serklaži i/ili sl.), instalacijama i/ili sl., obostrano ožbukanih, eventualno obloženih keramičkim pločicama jednostrano i/ili obostrano, visine do 4,0 m.
Uključivo odvoz na gradski deponij.
Mjesto uklanjanja: podrum, prizemlje, prvi kat
Obračun po m2 kompletno uklonjenog zida.",,,,,
,0.3.1.1.19.a.,,m²,62.96,49,3085.04,
,,,,,,,
,0.3.1.1.20.,"Rušenje (uklanjanje) pregradnih zidova, zidova ispune, parapeta, dijelova zidova i/ili sl. od od šuplje opeke debljine 19 cm, obostrano ožbukanih, komplet s instalacijama, visine do 4,0 m. Uključivo uredno izveden rub prema dijelu zida koji se ne ruši.
Uključivo odvoz na gradski deponij.
Mjesto uklanjanja: podrum.
Obračun po m2 kompletno uklonjenog zida.",,,,,
,0.3.1.1.20.a.,,m²,15.05,49,737.45,
,,,,,,,
,0.3.1.1.21.,"Rušenje (uklanjanje) nosivih zidova i zidova ispune okvirnog sustava postojeće zgrade, od blok opeke debljine 25-30 cm, obostrano ožbukanih i/ili obloženih keramičkim pločicama. Uključivo uredno izveden rub prema dijelu zida koji se ne ruši.
Uključivo potrebna skela, te odvoz na gradski deponij.
Obračun po m3 kompletno uklonjenog zida.",,,,,
,0.3.1.1.21.a.,,m³,35.94,98,3522.12,
,,,,,,,
,0.3.1.1.22.,"Rušenje (uklanjanje) nosivih zidova, i/ili dijelova nosivih zidova, postojeće zgrade, od armiranog betona debljine 25-30 cm, obostrano ožbukanih i/ili obloženih keramičkim pločicama. Uključivo uredno izveden rub prema dijelu zida koji se ne ruši.
Uključivo potrebna skela i odvoz na gradski deponij.
Mjesto uklanjanja: podrum, prizemlje, kat.
Obračun po m3 kompletno uklonjenog zida.",,,,,
,0.3.1.1.22.a.,,m³,79.04,108.8,8599.552,
,,,,,,,
,0.3.1.1.23.,"Izrezivanje otvora, parapeta, ležajeva za nove nadvoje, vertikalne serklaže, i sl. u nosivim ab zidovima postojeće zgrade, debljine 25-30 cm, obostrano ožbukanih i/ili obloženih keramičkim pločicama, uključivo uredno izveden rub prema dijelu zidova koji se ne ruši (rezalicama).
Uključivo potrebna skela i odvoz na gradski deponij.
Mjesto uklanjanja: podrum, prizemlje, kat.
Obračun po m3 kompletno uklonjenog zida.",,,,,
,0.3.1.1.23.a.,,m³,3.5,194,679,
,,,,,,,
