,,,,,
5.,"Nabava materijala, dovoz i postavljanje sokla od  keramičkih pločica na sudaru zidova i podova lođa i terasa pomoću fleksibilnog građevinskog ljepila. Soklo je od keramičkih pločica I.klase visine 10 cm. U cijenu uključeno fugiranje keramičkih pločica fuger masom u tonu prema izboru investitora.",m′,12,11,132
8.,"Nabava materijala, dovoz i oblaganje vanjskog betonskog stubišta sa keramičkim pločicama I.klase. Pločice se postavljaju pomoću cementnog flexsibilnog ljepila. Uključeno fugiranje postavljenih pločica i ugradnju potrebnih kutnih al lajsna. Betonske površine prije postavljanja premazati kvarcnom podlogom kao Unigrund ili Beton kontakt.",m′,10,45,450
9.,"Nabava materijala, dovoz i postavljanje sokla od  keramičkih pločica na sudaru zidova i gazišta i čela na vanjskom stubištu, pomoću fleksibilnog građevinskog ljepila. Soklo je od keramičkih pločica I.klase visine 10 cm. U cijenu uključeno fugiranje keramičkih pločica fuger masom u tonu prema izboru investitora.",m′,1,13,13
,,,,,
,KERAMIČARSKI RADOVI,,UKUPNO:,EURA,7279.8
,,,,,
,9. KAMENOREZAČKI RADOVI,,,,
,,,,,
1.,"Nabava materijala, dovoz i postavljanje unutrašnjih kamenih klupica u cementni mort, debljine 2 cm. Klupice širine do 15 cm. Kamen Brački ili sl. U cijenu uključeno fugiranje i silikoniziranje spojeva.",m′,9.8,36,352.8
2.,"Nabava materijala, dovoz i postavljanje vanjskih kamenih klupica, sa okapnicom, u cementni mort, debljine 3 cm. Klupice širine do 20 cm. Kamen Brački ili sl. U cijenu uključeno fugiranje i silikoniziranje spojeva.",m′,9.8,42,411.6
3.,"Nabava materijala, dovoz i postavljanje unutrašnjih kamenih pragova u cementni mort, debljine 2 cm. Pragovi širine do 15 cm. Kamen Brački ili sl. U cijenu uključeno fugiranje i silikoniziranje spojeva. Pragovi u prostorijama gdje se postavlja laminat.",m′,1.4,34,47.6
4.,"Nabava materijala, dovoz i postavljanje vanjskih kamenih pragova, ipred balkonskih vrata, u cementni mort, debljine 3 cm. Pragovi širine do 20 cm. Kamen Brački ili sl. U cijenu uključeno fugiranje i silikoniziranje spojeva.",m′,5.6,45,252
5.,"Nabava materijala, dovoz i postavljanje kamene poklopnice u cementni mort, debljine 3 cm, sa okapnicom sa obe strane kamena. Kamen Brački ili sl. U cijenu uključeno fugiranje i silikoniziranje spojeva. Zidić na ab ploči iznad nadstrešnice. Dimenzija presjeka kamena je 17x3 cm.",m′,45.8,55,2519
,,,,,
,KAMENOREZAČKI RADOVI,,UKUPNO:,,3583
,,,,,
,10. STOLARSKI RADOVI ,,,,
,,,,,
1.,"Nabava materijala, izrada i montaža jednokrilnih unutrašnjih vrata. Krilo vrata je duplo šperovano hrastovim furnirom i ispunom od presovane iverice kao Iverkol, a štokovi su od masivnog drveta bojeni prema izboru investitora. U cijenu uključeni svi okovi, ručke, štitnici, cilindar brava sa cilindrom i tri ključa i gumene brtve. Izvesti sve prema shemi. Stolarske mjere.",,,,
a),"POZ 1, dim.  70x205 cm;",kom,3,320,960
b),"POZ 2, dim.  90x205 cm;",kom,1,360,360
c),"POZ 3, dim.  80x205 cm; (jedna sa kliznim krilom)",kom,3,340,1020
,,,,,
,STOLARSKI RADOVI,,UKUPNO:,EURA,2340
,,,,,
,11. FASADERSKI I BOJADISERSKI RADOVI,,,,
,,,,,
1.,"Nabava materijala, dovoz i izrada toplinske fasade od stiropora debljine 8 cm. Na očišćene vanjske zidove zalijepiti toplinsku izolaciju debljine 8 cm pomoću odgovarajućeg ljepila kao Rofix 622. Na toplinsku izolaciju nanijeti dva sloja ljepila za izravnavanje stim da se u prvi sloj utisne staklena armaturna mrežica kao Rofix P50. Drugi sloj fino izravnati metalnom gladilicom jer se na njega nanosi sloj završne silikatne žbuke. U cijenu uključen kompletan materijal: toplinski sloj, sokl pocinčani komad, kutni komad za špalete, plastični vijci za pričvršćivanje toplinskog sloja, mrežica, ostali sitni potrošni materijal i pribor i silikatni završni sloj po izboru investitora kao i fasadna aluminijska skela. Sve izvesti prema uputama proizvođača.",m²,195,48,9360
2.,"Nabava materijala, dovoz i nanošenje dva sloja fasadnog ljepila kao Rofix 622 na betonske površine na koje se ne ljepi toplinski sloj. U prvi sloj utisnuti armaturnu mrežicu. U cijenu uključeno i prethodno premazivanje zidova i podgleda balkona kontakt podlogom. Uključen završni sloj od silikatne žbuke i potrebna pomoćna skela.",m²,23.5,24,564
3.,"Nabava materijala, dovoz i nanošenje dva sloja fasadnog ljepila kao Rofix 622 na betonske površine (podgled ploča) na koje se ne ljepi toplinski sloj. U cijenu uključeno i prethodno premazivanje kontakt podlogom. Uključen završni sloj od fasadne boje (tri puta) i potrebna pomoćna skela.",m²,24,30,720
4.,"Nabava materijala, dovoz i bojanje unutrašnjih zidova disperzivnim bojama u tonu po izboru investitora dva puta, kao Jupol, uz prethodno gletanje dva puta, fino brušenje i premazivanje površina kontakt podlogom prije bojanja. U cijenu uključena pomoćna radna skela za bojanje.",m²,280,6.5,1820
5.,"Nabava materijala i bojanje unutrašnjih stropova disperzivnim bojama u tonu po izboru investitora dva puta, kao Jupol, uz prethodno gletanje stropova izravnavajućom masom kao Teranil extra dva puta,  prethodno premazivanje površina kontakt podlogom. U cijenu uključena pomoćna radna skela za bojanje.",m²,103,6.8,700.4
,,,,,
,FASADERSKI I BOJADISERSKI RADOVI,,UKUPNO:,EURA,13164.4
,,,,,
,12. PARKETARSKI RADOVI,,,,
,,,,,
1.,"Nabava materijala, dovoz i postavljanje laminata debljine 10 mm. U cijenu uključeno postavljanje spužvaste folije debljine 3 mm i postavljanje ukrasnih kutnih letvica (cca 38 m1).",m²,42,35,1470
,,,,,
,PARKETARSKI RADOVI,,UKUPNO:,EURA,1470
,,,,,
,13. BRAVARSKI RADOVI,,,,
,,,,,
1.,"Nabava materijala, izrada, dovoz i montaža ulaznih protuprovalnih vrata od PVC peterokomornih profila. U cijenu uključene sve gumene brtve, okovi, kvake, štitnici, cilindar brava sa tri ključa, odbojnik i ostali sitni potrošni materijal i pribor za montažu. Zidarska mjera 100x210 cm. Ispuna vrata od ukrasnog profiliranog termo panela. POZ 1. ",kom,1,1150,1150
2.,"Nabava materijala, izrada i montaža prozora, balkonskih vrata i balkonskih stijena od PVC peterokomornih profila (kao Gealan). U cijenu uključene sve gumene brtve, okovi (kao Roto), kvake, štitnici i ostali sitni potrošni materijal i pribor za montažu kao i IZO staklo na otvorima dim. 4+16+argon+4 mm sa LOW premazom. Na prozorima WC-a i kupatila je jedno mutno (neprozirno) staklo.",,,,
, prozori i vrata;,,,,
a),"POZ 2, dvokrilni prozor s jednim zaokretno/otklopnim krilom, dim.140x140 cm;",kom,3,580,1740
b),"POZ 3, jednokrilni prozor s  zaokretno/otklopnim krilom, dim.60x60 cm; (jedno mutno staklo)",kom,2,350,700
c),"POZ 4, dvokrilni prozor s jednim zaokretno/otklopnim krilom, dim.120x130 cm;",kom,1,530,530
d),"POZ 5, klizna staklena stijena, dim.300x230 cm;",kom,1,1680,1680
e),"POZ 6,  dvokrilni prozor s jednim zaokretno/otklopnim krilom, dim.160x130 cm;",kom,1,660,660
f),"POZ 7, klizna staklena stijena, dim.160x230 cm;",kom,1,780,780
g),"POZ 8,  dvokrilni prozor s jednim zaokretno/otklopnim krilom, dim.100x130 cm;",kom,1,510,510
