,,,,,
,A. GRAĐEVINSKI RADOVI,,,,
,,,,,
A.05.3,"Nabava materijala, dovoz i zidanje pregradnih zidova blok opekom kao POROTHERM 10, dim. 100x600x238 cm u produžnom cementnom mortu marke MM-25. U cijenu je uključen sav rad i materijal, pomoćna sredstva, oplata i pomoćni materijali, zapunjavanje fuga, rezanje blok opeka za zidarski vez, završna obrada vertikalnih špaleta otvora, kao i poklopnih ploha prozorskih parapeta (podrazumjeva se ravna zaglađena površina), te potrebna radna skela. Prvi red blokova potrebno je postaviti na idealno ravan u oba smjera sloj cementnog morta 1:2 debljine 2-5 cm ovisno o točnosti izvedene podloge. Prilikom zudanja nije dozvoljeno preklapanje vertikalnih sljubnica. U cijeni sav rad i materijal po uputi proizvođača do potpune gotovosti. U cijeni je uključena potrebna pokretna radna skela visine 2-3 metra i čišćenje radnog mjesta nakon završetka radova. Obračun po m2 izvedenog zida.",m²,45,,
A.05.4,"Nabava, dovoz i ugradnja tipskih tvorničkih nadvoja na pregradnim zidovima iznad sobnih vrata dužina od 100 do 120 cm. Ugradnja pomoću produžnog morta.",kom,6,,
A.05.5,"Nabava materijala, dovoz i strojno žbukanje unutrašnjih zidova vapneno cementnom žbukom kao Rofix 510 uz prethodno špricanje zidova rijetkim cementnim mortom kao Rofix 670 ili premazivanje betonskih površina Beton kontaktom (Baumit). U cijenu uključena i pomoćna radna skela za žbukanje. Debljina žbuke je 2 cm. Sve betonske površine prethodno premazati SN vezom. Sve spojeve različitih materijala potrebno je rabicirati rabic pletivom. Svi otvori na nosivim zidovima manji od 3m2 se ne odbijaju od ukupne površine zbog obrade špaleta. Sve izvesti prema uputi proizvođača i općim uvjetima. Obračun po m2 izvedene žbuke.",m²,265,,
A.05.6,"Nabava materijala, dovoz i strojno žbukanje stropova (AB ploče) i kosih ploča stubišta vapneno cementnom žbukom kao Rofix 510 uz prethodno špricanje stropova rijetkim cementnim mortom kao Rofix 670 ili premazivanje betonskih površina Beton kontaktom (Baumit). U cijenu uključena i pomoćna radna skela za žbukanje. Debljina žbuke do 2 cm.",m²,91,,
A.05.7,"Nabava materijala, dovoz i izrada cementnog estriha debljine 5-6 cm. Estrih fino zagladiti jer se na njega lijepe keramičke pločice ili polaže laminat. U cijenu uključena i vlakna za vezu. Estrih na svim podovima i vanjskim terasama.",m²,104,,
A.05.8,"Zidanje dimnjaka ukupne visine 6,5 m, tip kao Schiedl fi 16 cm. Uključen kompletan set za ugradnju koji uključuje plašt od lakog betona, šamotne cijevi dužine 33 cm, priključak za ložište pod kutom od 90 stupnjeva (1 kom), posudu za kondezat (1 kom), ventilacijsku rešetku (1 kom), limena vratašca za čišćenje (1 kom), tervol izolaciju od kamene vune, završnu betonsku kapu i završnu dilatacijsku rozetu. Sve izvesti prema uputi proizvođača i općim uvjetima. Obračun po metru dužnom izvedenog dimnjaka.",m′,6.5,,
A.05.9,Zidarska pripomoć prilikom ugradnje otvora bez obzira na velčinu.,kom,15,,
A.05.10,Čišćenje gradilišta tijekom izvođenja i završetka zidarskih radova.,kom,1,,
,,,,,
,A. 05. ZIDARSKI RADOVI:     Kuna,,,,
,,,,,
,A. 06. IZOLATERSKI RADOVI,,,,
,,,,,
,"HIDROIZOLACIJA. Prije početka radova izvođač mora ustanoviti kvalitetu podloge na koju se izvodi izolacija, te ukoliko nije pogodna za rad mora o tome na osnovu relevantnih dokaza, pismeno izvijestiti nadzornog inženjera kako bi se podloga na vrijeme popravila i pripremila za izvođenje izolacije. Radovi se moraju izvesti u svemu prema pravilima struke, uvjetima i opisima iz troškovnika, te uputama proizvođača. ",,,,
,"Podloga za hidroizolaciju mora biti suha i čvrsta, ravna i bez šupljina na površini, te očišćena od prašine i raznih nečistoća. Pažljivo izvesti savijanje traka i preklope prema uputama proizvođača, uz upotrebu tipskih prefabriciranih elemenata za složene spojeve, jer će sve manjkavosti i štete nastale lošom izvedbom izolacije snositi izvođač.",,,,
," Ako se naknadno pojavi vlaga zbog loše izvedbe, neće se dozvoliti krpanje izolacije, već se mora ponovo izvesti izolacija cijele površine na trošak izvođača. Izvođač mora u tom slučaju o svom trošku izvesti i popravak pojedinih građevinskih i obrtničkih radova, koji se prilikom ponovne izvedbe oštete ili moraju demontirati.",,,,
,"TOPLINSKA I ZVUČNA IZOLACIJA. Sva predložena riješenja moraju biti u skladu s postojećim propisima i standardima. Sav materijal mora odgovarati standardima koji se odnose na ugrađene proizvode, te mora imati ateste. Atesti moraju biti na gradilištu, predočeni na eventualni zahtjev nadzorne službe.",,,,
,"Prije početka radova i ugradnje Izvođač je obavezan nadzornom inžinjeru dostaviti važeće ateste i dokaze kvalitete za sve građevinske proizvode i radove koje planira ugraditi. Bez ispunjenja ovog uvjeta početak radova neće biti moguć, a sve zbog toga nastale troškove snosi izvođač radova.",,,,
,Opći i posebni uvjeti sastavni dio su ovog troškovnika. Sve navedeno u općim uvjetima što utječe na ukupnu cijenu obavezno ukalkulirati u jediničnu cijenu svake pojedine stavke troškovnika. Naknadni zahtjevi nakon ugovaranja neće se priznavati. Ovi opći uvjeti mjenjaju se ili nadopunjuju opisom pojedine stavke troškovnika.,,,,
A.06.1,"Nabava materijala, dovoz i izrada horizontalne hidroizolacije podova prizemlja koja se sastoji od jednog hladnog premaza (kao Resitol) i jednog sloja varenom ljepenkom s uloškom od staklene tkanine. Uključena hidroizolacija ispod zidova od opeke i na vanjskim terasama. Hidroizolacija se izvodi sa preklopima od 10 cm koji su uključeni u jediničnu cijenu. Obračun po m2 tlocrtne plohe.",m²,108,,
A.06.2,"Nabava materijala, dovoz i izrada horizontalne i vertikalne hidroizolacije WC-a i kupatila. Hidroizolacija se izvodi nakon sušenja cementnog estriha u dva sloja. Na spoju poda i zida postavlja se hidroizolacijska traka, širine 12 cm i nanose se dva sloja hidroizolacijskog premaza kao Rofix AS 345 Optiseal 1K. Uklučeni zidovi tuš kabina visine do 220 cm.",m²,13,,
A.06.3,"Nabava materijala, dovoz i postavljanje termoizolacijskog sloja na podove prizemlja. Termo izolacija se sastoji od jednog sloja ekspandiranog polistirena (EPS) debljine 3 cm, ekstrudirane polistirenske pjene (XPS) debljine 3 cm i polietilenske folije debljine 0,02 cm. Na spojevima poda i zida postaviti trake od stiropora visine 10 cm.",m²,91,,
A.06.4,"Nabava materijala, dovoz i postavljanje termoizolacijskog sloja na ab ploču ispod krovnog pokrova. Termo izolacija se sastoji od sloja parne brane na koju se postavlja sloj mineralne vune debljine12 cm. Sve izvesti prema uputama proizvođača.",m²,103,,
,,,,,
,A. 06. IZOLATERSKI RADOVI:     Kuna,,,,
,,,,,
,A. 07. FASADERSKI RADOVI,,,,
,,,,,
,Toplinski kontaktni sustav pročelja (svi elementi) mora biti klasificirani sustav koji zadovoljava zahtjev o uvjetima požara vezan uz reakciju na požar i doprinos razvoju dima minimalno -C-d1. Prije početka izvedbe fasaderskih radova treba projektantu i nadzornom inženjeru dostaviti dokumentaciju koja dokazuje gore navedene uvjete. Nije dozvoljena ugradnja sustava koji ne zadovoljava gore navedene uvjete.,,,,
,"Prije početka izvedbe radova i davanja ponude, izvođač je obvezan prekontrolirati vertikalnost konstrukcije i dimenzije elemenata iste koji se oblažu toplinskim slojem.",,,,
,"Sve komponente sustava moraju biti međusobno usklađene, njihova svojstva utvrđena ispitivanjima, s sustav kao cjelina mora posjedovati certifikat suglasnosti: HRN EN 13499:2004 u skladu s HRN EN 13172:2002.",,,,
,"Projektna vrijednost toplinskog otpora ugrađenog u sustav treba biti R≥2,5 m2 K/W. Vlačna čvrstoća prionjivosti između ljepila i podloge te ljepila i temeljnog armiranog sloja na EPS ploču ne smije biti manja od po 80kPa.",,,,
,U podnožju zida (sokl) visine od 30 do 60 cm od razine tla umjesto EPS ploča ugraditi će se XPS ploča debljine 8 cm s hrapavom površinom radi bolje prionjivosti ljepila.,,,,
A.07.1,"Nabava materijala, dovoz i izrada toplinske fasade od ekspandiranog polistirena debljine 8 cm. Na očišćene vanjske zidove zalijepiti toplinsku izolaciju debljine 8 cm pomoću odgovarajućeg ljepila kao Rofix 622. Na toplinsku izolaciju nanijeti dva sloja ljepila za izravnavanje stim da se u prvi sloj postavi staklena armaturna mrežica kao Rofix P50. Drugi sloj fino izravnati metalnom gladilicom jer se na njega nanosi sloj završne silikatne žbuke. U cijenu uključen kompletan materijal: toplinski sloj, sokl pocinčani komad, kutni komad za špalete, plastični vijci za pričvršćivanje toplinskog sloja, mrežica, ostali sitni potrošni materijal i pribor i silikatni završni sloj po izboru investitora kao i fasadna aluminijska skela. Sve izvesti prema uputama proizvođača. Obračun po m2 završno obrađene fasade do potpune funkcionalnosti.",m²,170,,
A.07.2,"Nabava materijala, dovoz i nanošenje dva sloja fasadnog ljepila kao Rofix 622 na betonske površine na koje se ne ljepi toplinski sloj.  U cijenu uključeno i prethodno premazivanje zidova i podgleda balkona kontakt podlogom. Uključen završni sloj od silikatne žbuke kao i fasadna aluminijska skela.",m²,38,,
,,,,,
,A. 07. FASADERSKI RADOVI:     Kuna,,,,
,,,,,
,A. 08. KROVOPOKRIVAČKI RADOVI,,,,
,,,,,
,Opći i posebni uvjeti sastavni dio su ovog troškovnika. Sve navedeno u općim uvjetima što utječe na ukupnu cijenu obavezno ukalkulirati u jediničnu cijenu svake pojedine stavke troškovnika. Naknadni zahtjevi nakon ugovaranja neće se priznavati.,,,,
A.08.1,"Nabava materijala, dovoz i montaža čelične krovne konstrukcije na AB ploči u padu od 7%. Konstrukcija se sastoji od željeznih stupića dim.40/40/3 mm (96 komada visine od 25 do 45 cm) i uzdužnih profila dim.40/60/3 mm (dužine cca 112,40 m). Kompletnu konstrukciju obojiti dva put temeljnom bojom i dva puta uljanom bojom. Uključen kompletan pričvrsni materijal i pribor. Obračun po m2 tlocrtne površine.",m²,103,,
A.08.2,"Nabava materijala, dovoz i montaža profiliranih krovnih tabli od čeličnog lima u boji koji se pričvršćuje na postojeću čeličnu konstrukciju. Lim po izboru investitora, debljine 0,07 cm. Uključen kompletan pričvrsni i materijal i pribor. U cijenu uključen i lim na sudaru krovnih ploha (površni lim).",m²,100,,
A.08.3,"Nabava materijala, dovoz i montaža čelične krovne konstrukcije iznad vanjske terase u padu od 7%. Konstrukcija se sastoji od željeznih profila dim.40/80/3 mm. Kompletnu konstrukciju obojiti dva put temeljnom bojom i dva puta uljanom bojom. Uključen kompletan pričvrsni materijal i pribor. Obračun po m2 tlocrtne površine.",m²,11,,
A.08.4,"Nabava materijala, dovoz i montaža profiliranih krovnih tabli ( iznad terase) od čeličnog lima u boji koji se pričvršćuje na postojeću čeličnu konstrukciju. Lim po izboru investitora, debljine 0,07 cm. Uključen kompletan pričvrsni i materijal i pribor.",m²,11,,
,,,,,
,A. 08. KROVOPOKRIVAČKI RADOVI:     Kuna,,,,
,,,,,
,,,,,
,B. OBRTNIČKI RADOVI,,,,
,,,,,
,B. 01. LIMARSKI RADOVI ,,,,
,,,,,
